Fecha,Consumo(t-7),Consumo(t-6),Consumo(t-5),Consumo(t-4),Consumo(t-3),Consumo(t-2),Consumo(t-1),Consumo(t),Dia_semana,Dia_mes,Mes,Fin_de_semana,Festivo,Tmed,Tmin,Tmax,Precipit
2018-01-09,263.1885943864472,212.6873761691386,192.0,201.0,212.0,196.91729298984865,188.08270701015127,185.0,1,9,1,0,0,7.5,0.7,14.3,3.8
2018-01-10,212.6873761691386,192.0,201.0,212.0,196.91729298984865,188.08270701015127,185.0,175.0,2,10,1,0,0,12.8,7.0,18.7,0.0
2018-01-11,192.0,201.0,212.0,196.91729298984865,188.08270701015127,185.0,175.0,176.0,3,11,1,0,0,12.4,8.7,16.2,0.2
2018-01-12,201.0,212.0,196.91729298984865,188.08270701015127,185.0,175.0,176.0,181.0,4,12,1,0,0,11.0,4.5,17.6,0.0
2018-01-13,212.0,196.91729298984865,188.08270701015127,185.0,175.0,176.0,181.0,193.0,5,13,1,1,0,9.6,4.0,15.2,0.0
2018-01-14,196.91729298984865,188.08270701015127,185.0,175.0,176.0,181.0,193.0,222.0,6,14,1,1,0,9.8,3.6,16.1,7.2
2018-01-15,188.08270701015127,185.0,175.0,176.0,181.0,193.0,222.0,168.0,0,15,1,0,0,10.0,5.6,14.4,1.4
2018-01-16,185.0,175.0,176.0,181.0,193.0,222.0,168.0,162.68772566126427,1,16,1,0,0,12.0,3.0,21.1,0.0
2018-01-17,175.0,176.0,181.0,193.0,222.0,168.0,162.68772566126427,186.7601614769665,2,17,1,0,0,14.8,7.9,21.7,0.0
2018-01-18,176.0,181.0,193.0,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342,3,18,1,0,0,12.4,6.7,18.2,0.0
2018-01-19,181.0,193.0,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,4,19,1,0,0,11.8,7.3,16.4,0.0
2018-01-20,193.0,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0,5,20,1,1,0,14.8,6.9,22.8,0.0
2018-01-21,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0,6,21,1,1,0,16.8,9.6,24.1,0.0
2018-01-22,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468,0,22,1,0,0,18.0,10.0,26.0,0.0
2018-01-23,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653,1,23,1,0,0,15.8,8.5,23.1,0.0
2018-01-24,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653,193.0,2,24,1,0,0,13.7,6.2,21.2,0.0
2018-01-25,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888,3,25,1,0,0,11.6,5.4,17.9,0.6
2018-01-26,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831,4,26,1,0,0,12.6,9.3,15.8,0.0
2018-01-27,181.0,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831,5,27,1,1,0,12.2,8.3,16.1,36.2
2018-01-28,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,6,28,1,1,0,11.4,7.3,15.5,1.8
2018-01-29,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,0,29,1,0,0,13.2,9.2,17.3,0.0
2018-01-30,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,1,30,1,0,0,11.4,7.3,15.5,0.0
2018-01-31,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,2,31,1,0,0,12.3,7.7,16.9,2.0
2018-02-01,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0,3,1,2,0,0,13.6,8.5,18.7,8.8
2018-02-02,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0,4,2,2,0,0,9.0,6.6,11.5,0.0
2018-02-03,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0,183.0,5,3,2,1,0,10.0,4.8,15.3,0.0
2018-02-04,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0,183.0,193.0,6,4,2,1,0,8.6,3.7,13.4,0.2
2018-02-05,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0,183.0,193.0,153.23144899425097,0,5,2,0,0,8.6,4.1,13.0,0.0
2018-02-06,192.7850325141335,179.59129487839527,184.0,174.0,183.0,193.0,153.23144899425097,153.76855100574903,1,6,2,0,0,8.0,3.7,12.3,0.0
2018-02-07,179.59129487839527,184.0,174.0,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233,2,7,2,0,0,8.8,3.8,13.7,0.0
2018-02-08,184.0,174.0,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,3,8,2,0,0,7.6,1.1,14.1,0.0
2018-02-09,174.0,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0,4,9,2,0,0,7.4,0.6,14.3,0.0
2018-02-10,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694,5,10,2,1,0,10.8,6.5,15.2,0.0
2018-02-11,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945,6,11,2,1,0,12.6,3.4,21.8,0.0
2018-02-12,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975,0,12,2,0,0,11.0,5.7,16.3,0.4
2018-02-13,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975,153.90264207159635,1,13,2,0,0,10.8,3.3,18.4,0.0
2018-02-14,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975,153.90264207159635,165.0,2,14,2,0,0,13.8,7.4,20.3,0.0
2018-02-15,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975,153.90264207159635,165.0,200.1618636145722,3,15,2,0,0,15.2,7.5,22.9,0.0
2018-02-16,157.0,178.8988973220694,211.8632357190945,161.33522488723975,153.90264207159635,165.0,200.1618636145722,184.181046436599,4,16,2,0,0,15.2,8.8,21.5,0.0
