Fecha,Consumo(t-7),Consumo(t-6),Consumo(t-5),Consumo(t-4),Consumo(t-3),Consumo(t-2),Consumo(t-1),Consumo(t)
2018-01-09,263.1885943864472,212.6873761691386,192.0,201.0,212.0,196.91729298984865,188.08270701015127,185.0
2018-01-10,212.6873761691386,192.0,201.0,212.0,196.91729298984865,188.08270701015127,185.0,175.0
2018-01-11,192.0,201.0,212.0,196.91729298984865,188.08270701015127,185.0,175.0,176.0
2018-01-12,201.0,212.0,196.91729298984865,188.08270701015127,185.0,175.0,176.0,181.0
2018-01-13,212.0,196.91729298984865,188.08270701015127,185.0,175.0,176.0,181.0,193.0
2018-01-14,196.91729298984865,188.08270701015127,185.0,175.0,176.0,181.0,193.0,222.0
2018-01-15,188.08270701015127,185.0,175.0,176.0,181.0,193.0,222.0,168.0
2018-01-16,185.0,175.0,176.0,181.0,193.0,222.0,168.0,162.68772566126427
2018-01-17,175.0,176.0,181.0,193.0,222.0,168.0,162.68772566126427,186.7601614769665
2018-01-18,176.0,181.0,193.0,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342
2018-01-19,181.0,193.0,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585
2018-01-20,193.0,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0
2018-01-21,222.0,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0
2018-01-22,168.0,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468
2018-01-23,162.68772566126427,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653
2018-01-24,186.7601614769665,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653,193.0
2018-01-25,176.32974782318342,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888
2018-01-26,168.22236503858585,181.0,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831
2018-01-27,181.0,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831
2018-01-28,280.0,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831
2018-01-29,202.53803792933468,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831
2018-01-30,186.4619620706653,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335
2018-01-31,193.0,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527
2018-02-01,181.54191002633888,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0
2018-02-02,193.2704406452831,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0
2018-02-03,193.2704406452831,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0,183.0
2018-02-04,193.2704406452831,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0,183.0,193.0
2018-02-05,193.2704406452831,192.7850325141335,179.59129487839527,184.0,174.0,183.0,193.0,153.23144899425097
2018-02-06,192.7850325141335,179.59129487839527,184.0,174.0,183.0,193.0,153.23144899425097,153.76855100574903
2018-02-07,179.59129487839527,184.0,174.0,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233
2018-02-08,184.0,174.0,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767
2018-02-09,174.0,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0
2018-02-10,183.0,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694
2018-02-11,193.0,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945
2018-02-12,153.23144899425097,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975
2018-02-13,153.76855100574903,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975,153.90264207159635
2018-02-14,171.9281423704233,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975,153.90264207159635,165.0
2018-02-15,204.0718576295767,157.0,178.8988973220694,211.8632357190945,161.33522488723975,153.90264207159635,165.0,200.1618636145722
