Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.15373620179071365,0.10839323409815332,0.10672061752164944,0.10317878327593968
Pliegue 2,0.06789510491980905,0.15252043112167185,0.06526925931706007,0.07593036919060109
Pliegue 3,0.045056371047253574,0.05850723676597985,0.04241031361029163,0.08291158874862598
Pliegue 4,0.07769449154007932,0.059617365271080025,0.08686100332356683,0.060430963894299194
Pliegue 5,0.06686228898582117,0.08419994181902571,0.07392694342187409,0.043626780526070136
Pliegue 6,0.04832182186972528,0.049067911701799416,0.045917713294937434,0.04151236420151738
Pliegue 7,0.05138364816637164,0.05307535249658896,0.058301519830283755,0.032706672512804735
Pliegue 8,0.08050072548208975,0.06611012255793558,0.06996514274524523,0.08985592555928845
Pliegue 9,0.06286770696166011,0.0590425481313184,0.06342173871747075,0.05030550156326524
Pliegue 10,0.051177082499349824,0.04167849280896552,0.046291735599183814,0.04058394587953884
