Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.03414212777015762,0.02551295010556976,0.025292808207575762,0.017689906700599597
Pliegue 2,0.012560308334517167,0.027547677412397574,0.012534291895634278,0.03014572471014927
Pliegue 3,0.006328456708089484,0.005274962647611112,0.005246283177219312,0.006163465417314509
Pliegue 4,0.017627936880478905,0.014829253227047753,0.018215312991719877,0.011814742540722695
Pliegue 5,0.01778040815545169,0.014102648754422957,0.014685575074398901,0.01140480671633134
Pliegue 6,0.005136235166754892,0.004465281091782663,0.005423120112417653,0.0035787699756185216
Pliegue 7,0.009513829480142564,0.004779821524902721,0.00956337710205339,0.0063345022188389345
Pliegue 8,0.017001223719306322,0.01609719281910971,0.01557642071846214,0.008974653889204171
Pliegue 9,0.012939666812257848,0.008722300955328952,0.01532303313098507,0.008118111777819056
Pliegue 10,0.008570138610800308,0.005178443926549191,0.006992599545315853,0.004941410600366367
