Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.21022656945600204,0.15476415430366683,0.16120186345443746,0.15552351380554194
Pliegue 2,0.10879714168712457,0.16836957878488037,0.11935589746258253,0.1010375056693673
Pliegue 3,0.07569226860999197,0.08109860961640003,0.07362155441977578,0.10566802531616352
Pliegue 4,0.13331491271070095,0.1099649100266487,0.14633686065871046,0.11090136745652593
Pliegue 5,0.12932635127307898,0.12286353716002012,0.1263989576168602,0.10560621764442366
Pliegue 6,0.07775453434130442,0.07255370041702267,0.07598946379357442,0.06198578057959048
Pliegue 7,0.10063596830918593,0.07200184196654531,0.09489613699109836,0.07608473569034883
Pliegue 8,0.1430501837442061,0.10394340212619982,0.12760897024574355,0.124386537391045
Pliegue 9,0.10537653389649088,0.09485060898758972,0.10680805948802087,0.07825174942103716
Pliegue 10,0.08405817754892245,0.07664081103409992,0.08746127869728462,0.07443307081546097
