Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.10620675240289623,0.10619514738364363,0.10596688548296351,0.10346992560966159
Pliegue 2,0.04773260444609795,0.10407627155941362,0.04859303024334477,0.11996737800975532
Pliegue 3,0.04100047927998257,0.04268345103147475,0.03904190464862656,0.04422177019019913
Pliegue 4,0.07575603410541479,0.07617025839167035,0.07377917899330091,0.08104598026338058
Pliegue 5,0.059003462574424514,0.06631288784427203,0.07094164130361233,0.06380720733903675
Pliegue 6,0.038727219645125543,0.04186516698119086,0.03480632066073874,0.03699167009591947
Pliegue 7,0.058135334913445635,0.03705231117506813,0.05033273176817654,0.048235065405937305
Pliegue 8,0.07170620588143661,0.06749576222766007,0.08164773220601573,0.06795216893145051
Pliegue 9,0.07614139094083042,0.05953191396453364,0.0559810810263382,0.053089584008115226
Pliegue 10,0.049838082815294116,0.03644920953021158,0.03814284214289426,0.03673010434210394
