Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,29.295638829931747,27.836582939932814,35.10919200403144,34.24866007511233
Pliegue 2,54.359512713203124,111.84484067491564,38.06958236148515,96.8960568424512
Pliegue 3,25.5729514599448,30.82338824531895,24.549833125350844,34.46879533140588
Pliegue 4,28.745216936882397,21.552295786374316,28.245936061107738,27.805090720986115
Pliegue 5,21.921526705993426,17.990426357632543,22.898680427745006,20.968829537225695
Pliegue 6,59.960492398284714,56.55390646983823,64.7436114700046,50.17829508935517
Pliegue 7,40.7062628568385,48.88508645466566,50.48958056759896,52.44176046512782
Pliegue 8,15.638923084847892,13.700406895409113,15.12590801300768,14.936884854601432
Pliegue 9,30.183218594027128,27.06061447525954,28.99469339837932,23.432395641599648
Pliegue 10,57.999247986791204,46.001033654496986,51.089913993152926,48.65073874068654
