Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.026010305782789206,0.021807649142576793,0.02655953008764666,0.021152090478923143
Pliegue 2,0.008588075554336426,0.019603748872600708,0.009622536043723314,0.02230491459185454
Pliegue 3,0.004704368862148348,0.005446012158118048,0.0052582153279707704,0.005189727159144797
Pliegue 4,0.015100676166885584,0.015358948213645685,0.01515154664602356,0.01618739075858893
Pliegue 5,0.01374831699772398,0.014236469208624604,0.013542446386941907,0.013757264436227457
Pliegue 6,0.004360520994866927,0.004212994991703174,0.0035391706021133187,0.004340496134885481
Pliegue 7,0.007918503211020013,0.006377472282317636,0.006945453607624627,0.008146798065259826
Pliegue 8,0.014580356678195565,0.015047684415922564,0.015495781606411853,0.015516456370334029
Pliegue 9,0.014369084524678867,0.010745985888723405,0.01094921636630275,0.007992889142354357
Pliegue 10,0.0066385458808530425,0.005820754927452783,0.005584732715270034,0.006189260677211458
