Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.16127710867568654,0.1476741315958106,0.16297094860019273,0.14543758275948876
Pliegue 2,0.092671870350913,0.14001338819056094,0.09809452606401294,0.14934829959478796
Pliegue 3,0.06858840180488497,0.07379710128533537,0.0725135527192729,0.07203976095979774
Pliegue 4,0.1228848085276841,0.12393122372366734,0.12309161891056418,0.12722967719281902
Pliegue 5,0.1172532174301583,0.11931667615477982,0.11637201719890357,0.11729136556553281
Pliegue 6,0.06603424107890486,0.06490758809032403,0.05949092873802962,0.06588244177992708
Pliegue 7,0.08898597199008398,0.07985907764504693,0.08333938809245378,0.09025961480784098
Pliegue 8,0.12074914773279175,0.12266900348467238,0.12448205335072142,0.1245650688208136
Pliegue 9,0.11987111630696891,0.10366284719572103,0.10463850326864749,0.08940295936015964
Pliegue 10,0.0814772721736132,0.07629387214876948,0.07473106927690808,0.07867185441574044
