Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.14528663653392948,0.09536743622197302,0.11847311514521916,0.1780235152174791
Pliegue 2,0.04321305220945018,0.04537917503109207,0.041303358586706196,0.05760338214944513
Pliegue 3,0.04215662018876383,0.03798846476804689,0.051501784972034254,0.06391880341404435
Pliegue 4,0.07178851976979433,0.07968447411608737,0.08727039357876853,0.056415832573027874
Pliegue 5,0.06630863436928397,0.04892226579611669,0.06486409261493487,0.06606857428213408
Pliegue 6,0.044594506528163116,0.045099864946650796,0.06598918364654371,0.03240027691911007
Pliegue 7,0.03865823212112663,0.08689345746417956,0.050683810546916924,0.041551006189323406
Pliegue 8,0.06212862264522956,0.07395219910997658,0.08413423327485534,0.0649574938068446
Pliegue 9,0.06468544969199064,0.0647079847456487,0.0563281245310977,0.06330244469182739
Pliegue 10,0.05997829173485249,0.040155296019485656,0.038171113347916064,0.03248288244007698
