Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,35.121298226837204,27.77692049963482,28.985990193951803,35.751164881032295
Pliegue 2,36.89601863714453,40.94970710232046,37.79056266159488,47.84496763132096
Pliegue 3,28.79546892777125,24.376162509609735,28.547475590532883,37.69572366613082
Pliegue 4,28.655917905917658,25.48847392355863,29.991725049101532,20.793348664691983
Pliegue 5,22.22957593385375,18.68839517400954,23.41556126237593,21.8766429187914
Pliegue 6,72.84008546778827,54.77191140222209,95.72640228614223,43.08579938225649
Pliegue 7,37.943304805317034,89.52171584144722,50.03275228405638,35.77885728334919
Pliegue 8,16.063870474619943,13.987420487399502,15.765416189068027,12.995771268200247
Pliegue 9,32.27066748146774,28.264198070462335,26.26606769587931,26.974820113505995
Pliegue 10,75.58869535935331,55.68012413163995,49.67223748957663,40.25014790338032
