Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.0690436023904851,0.01913560476446043,0.02656760266848127,0.01386089061407994
Pliegue 2,0.008680546993571072,0.008499153959091302,0.008899841790639497,0.010644572657787918
Pliegue 3,0.004190183784966565,0.004744828262574008,0.007250081120587104,0.0032190315593514087
Pliegue 4,0.014022652065927715,0.010382857104560146,0.017390981276042487,0.010346085898258892
Pliegue 5,0.012672911165380435,0.009821839039800063,0.023027873881600845,0.026941238019644362
Pliegue 6,0.0038007451174423244,0.0036679422577071286,0.00616803218233285,0.003782456755079571
Pliegue 7,0.007732837398702028,0.005281389152545654,0.006840540783752162,0.005695172951628942
Pliegue 8,0.01573547580128846,0.00985773408876264,0.015424845284008637,0.009601241066591226
Pliegue 9,0.010718347278279514,0.008567698207539819,0.009412729683827717,0.009296430077683535
Pliegue 10,0.0059746822227442695,0.005520847989361282,0.00638068072935815,0.004156901434930065
