Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,0.2627614933556382,0.13833150315260956,0.1629957136506395,0.11773228365270055
Pliegue 2,0.09316945311404952,0.09219085615770851,0.09433897280890595,0.10317253829284184
Pliegue 3,0.06473162893799726,0.0688827138153979,0.08514740818478918,0.05673650993277088
Pliegue 4,0.11841727942292761,0.10189630564726154,0.13187486976692142,0.10171571116724737
Pliegue 5,0.11257402526951071,0.09910519179033994,0.1517493785213002,0.16413786284597578
Pliegue 6,0.061650183433971426,0.060563539012405215,0.07853682055146395,0.06150168091263499
Pliegue 7,0.08793655325689101,0.07267316666105622,0.08270756182932829,0.0754663696730467
Pliegue 8,0.12544112484065367,0.09928612233722615,0.12419680061905233,0.09798592279807965
Pliegue 9,0.10352945126039988,0.09256186151725676,0.09701922326955477,0.09641799664836194
Pliegue 10,0.07729606861118016,0.07430240904143877,0.0798791632990616,0.06447403690579694
